# For:  AD Model Builder: using automatic differentiation for statistical inference of highly parameterized complex nonlinear models ||||||||||||||||||||||||||
# Timespan=2012-2017. Indexes=SCI-EXPANDED| ESCI| A&HCI| SSCI| CPCI-SSH| CPCI-S.|||||||||||||||||||||
#||||||||||||||||||||||||||
Title|Authors|Corporate Authors|Editors|Book Editors|Source Title|Publication Date|Publication Year|Volume|Issue|Part Number|Supplement|Special Issue|Beginning Page|Ending Page|Article Number|DOI|Conference Title|Conference Date|Total Citations|Average per Year|2012|2013|2014|2015|2016|2017
Do Multi-year Applications of Bacillus thuringiensis subsp israelensis for Control of Mosquito Larvae Affect the Abundance of B-cereus Group Populations in Riparian Wetland Soils?|Schneider, Salome; Tajrin, Tania; Lundstrom, Jan O.; Hendriksen, Niels B.; Melin, Petter; Sundh, Ingvar||||MICROBIAL ECOLOGY|NOV 2017|2017|74|4||||901|909||10.1007/s00248-017-1004-0|||0|0|0|0|0|0|0|0
Linking fishes to multiple metrics of coral reef structural complexity using three-dimensional technology|Gonzalez-Rivero, M.; Harborne, A. R.; Herrera-Reveles, A.; Bozec, Y. -M.; Rogers, A.; Friedman, A.; Ganase, A.; Hoegh-Guldberg, O.||||SCIENTIFIC REPORTS|OCT 25 2017|2017|7|||||||13965|10.1038/s41598-017-14272-5|||0|0|0|0|0|0|0|0
Comparative assessment of An. gambiae and An. stephensi mosquitoes to determine transmission-reducing activity of antibodies against P-falciparum sexual stage antigens|Eldering, Maarten; Bompard, Anais; Miura, Kazutoyo; Stone, Will; Morlais, Isabelle; Cohuet, Anna; van Gemert, Geert-Jan; Brock, Patrick M.; Rijpma, Sanna R.; van de Vegte-Bolmer, Marga; Graumans, Wouter; Siebelink-Stoter, Rianne; Da, Dari F.; Long, Carole A.; Morin, Merribeth J.; Sauerwein, Robert W.; Churcher, Thomas S.; Bousema, Teun||||PARASITES & VECTORS|OCT 17 2017|2017|10|||||||489|10.1186/s13071-017-2414-z|||0|0|0|0|0|0|0|0
Variation in size frequency distribution of coral populations under different fishing pressures in two contrasting locations in the Indian Ocean|Grimsditch, G.; Pisapia, C.; Huck, M.; Karisa, J.; Obura, D.; Sweet, M.||||MARINE ENVIRONMENTAL RESEARCH|OCT 2017|2017|131|||||146|155||10.1016/j.marenvres.2017.09.017|||0|0|0|0|0|0|0|0
Statistical modelling of individual animal movement: an overview of key methods and a discussion of practical challenges|Patterson, Toby A.; Parton, Alison; Langrock, Roland; Blackwell, Paul G.; Thomas, Len; King, Ruth||||ASTA-ADVANCES IN STATISTICAL ANALYSIS|OCT 2017|2017|101|4||||399|438||10.1007/s10182-017-0302-7|||2|1|0|0|0|0|0|2
Postbreeding elevational movements of western songbirds in Northern California and Southern Oregon|Wiegardt, Andrew; Wolfe, Jared; Ralph, C. John; Stephens, Jaime L.; Alexander, John||||ECOLOGY AND EVOLUTION|OCT 2017|2017|7|19||||7750|7764||10.1002/ece3.3326|||0|0|0|0|0|0|0|0
Testing for Links Between Female Urine Odor and Male Sexual Behaviors in Japanese Macaques (Macaca fuscata)|Rigaill, Lucie; Suda-Hashimoto, Naoko; Ducroix, Louise; Mouri, Keiko; Furuichi, Takeshi; Garcia, Cecile||||INTERNATIONAL JOURNAL OF PRIMATOLOGY|OCT 2017|2017|38|5||||823|837||10.1007/s10764-017-9980-y|||0|0|0|0|0|0|0|0
Activity and home range in a recently widespread European mink population in Western Europe|Palomares, Francisco; Lopez-Bao, J. V.; Telletxea, G.; Cena, J. C.; Fournier, P.; Giralda, G.; Urra, F.||||EUROPEAN JOURNAL OF WILDLIFE RESEARCH|OCT 2017|2017|63|5||||||78|10.1007/s10344-017-1135-0|||0|0|0|0|0|0|0|0
Deer presence rather than abundance determines the population density of the sheep tick, Ixodes ricinus, in Dutch forests|Hofmeester, Tim R.; Sprong, Hein; Jansen, Patrick A.; Prins, Herbert H. T.; van Wieren, Sipke E.||||PARASITES & VECTORS|SEP 19 2017|2017|10|||||||433|10.1186/s13071-017-2370-7|||0|0|0|0|0|0|0|0
How often do mosquitoes bite humans in southern England? A standardised summer trial at four sites reveals spatial, temporal and site-related variation in biting rates|Brugman, Victor A.; England, Marion E.; Stoner, Joanne; Tugwell, Laura; Harrup, Lara E.; Wilson, Anthony J.; Medlock, Jolyon M.; Logan, James G.; Fooks, Anthony R.; Mertens, Peter P. C.; Johnson, Nicholas; Carpenter, Simon||||PARASITES & VECTORS|SEP 15 2017|2017|10|||||||420|10.1186/s13071-017-2360-9|||0|0|0|0|0|0|0|0
Interacting effects of wildlife loss and climate on ticks and tick-borne disease|Titcomb, Georgia; Allan, Brian F.; Ainsworth, Tyler; Henson, Lauren; Hedlund, Tyler; Pringle, Robert M.; Palmer, Todd M.; Njoroge, Laban; Campana, Michael G.; Fleischer, Robert C.; Mantas, John Naisikie; Young, Hillary S.||||PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES|SEP 13 2017|2017|284|1862||||||20170475|10.1098/rspb.2017.0475|||0|0|0|0|0|0|0|0
Potential of pest regulation by insectivorous birds in Mediterranean woody crops|Rey Benayas, Jose M.; Meltzer, Jorge; de las Heras-Bravo, Daniel; Cayuela, Luis||||PLOS ONE|SEP 6 2017|2017|12|9||||||e0180702|10.1371/journal.pone.0180702|||0|0|0|0|0|0|0|0
Influence of fumigants on sunflower seeds: Characteristics of fumigant desorption and changes in volatile profiles|Austel, Nadine; Schubert, Jens; Gadau, Sabrina; Jungnickel, Harald; Budnik, Lygia T.; Luch, Andreas||||JOURNAL OF HAZARDOUS MATERIALS|SEP 5 2017|2017|337|||||138|147||10.1016/j.jhazmat.2017.04.070|||0|0|0|0|0|0|0|0
Arthropods in the subsoil: Abundance and vertical distribution as related to soil organic matter, microbial biomass and plant roots|Potapov, Anton M.; Goncharov, Anton A.; Semenina, Eugenia E.; Korotkevich, Anastasiya Yu; Tsurikov, Sergey M.; Rozanova, Oksana L.; Anichkin, Alexander E.; Zuev, Andrey G.; Samoylova, Ekaterina S.; Semenyuk, Irina I.; Yevdokimov, Ilya V.; Tiunov, Alexei V.||||EUROPEAN JOURNAL OF SOIL BIOLOGY|SEP-OCT 2017|2017|82|||||88|97||10.1016/j.ejsobi.2017.09.001|||0|0|0|0|0|0|0|0
Fire severity alters the distribution of pyrogenic carbon stocks across ecosystem pools in a Californian mixed-conifer forest|Maestrini, Bernardo; Alvey, Erin C.; Hurteau, Matthew D.; Safford, Hugh; Miesel, Jessica R.||||JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES|SEP 2017|2017|122|9||||2338|2355||10.1002/2017JG003832|||0|0|0|0|0|0|0|0
The coefficient of determination R-2 and intra-class correlation coefficient from generalized linear mixed-effects models revisited and expanded|Nakagawa, Shinichi; Johnson, Paul C. D.; Schielzeth, Holger||||JOURNAL OF THE ROYAL SOCIETY INTERFACE|SEP 1 2017|2017|14|134||||||20170213|10.1098/rsif.2017.0213|||1|0.5|0|0|0|0|0|0
How stallions influence the dynamic of collective movements in two groups of domestic horses, from departure to arrival|Briard, Lea; Deneubourg, Jean-Louis; Petit, Odile||||BEHAVIOURAL PROCESSES|SEP 2017|2017|142|||||56|63||10.1016/j.beproc.2017.05.014|||0|0|0|0|0|0|0|0
Performing Statistical Population Reconstruction Using Program PopRecon 2.0|Clawson, Michael V.; Skalski, John R.; Lady, James M.; Hagen, Christian A.; Millspaugh, Joshua J.; Budeau, David; Severson, John P.||||WILDLIFE SOCIETY BULLETIN|SEP 2017|2017|41|3||||581|589||10.1002/wsb.790|||0|0|0|0|0|0|0|0
Socio-Ecological Mechanisms Supporting High Densities of Aedes albopictus (Diptera: Culicidae) in Baltimore, MD|Little, E.; Biehler, D.; Leisnham, P. T.; Jordan, R.; Wilson, S.; LaDeau, S. L.||||JOURNAL OF MEDICAL ENTOMOLOGY|SEP 2017|2017|54|5||||1183|1192||10.1093/jme/tjx103|||0|0|0|0|0|0|0|0
Wet years have more caterpillars: interacting roles of plant litter and predation by ants|Karban, Richard; Grof-Tisza, Patrick; Holyoak, Marcel||||ECOLOGY|SEP 2017|2017|98|9||||2370|2378||10.1002/ecy.1917|||0|0|0|0|0|0|0|0
Germination phenology determines the propensity for facilitation and competition|Leverett, Lindsay D.||||ECOLOGY|SEP 2017|2017|98|9||||2437|2446||10.1002/ecy.1984|||0|0|0|0|0|0|0|0
Predicting the spatio-temporal distributions of pelagic sharks in the western and central North Pacific|Kai, Mikihiko; Thorson, James T.; Piner, Kevin R.; Maunder, Mark N.||||FISHERIES OCEANOGRAPHY|SEP 2017|2017|26|5||||569|582||10.1111/fog.12217|||2|1|0|0|0|0|0|1
Resilience of European larch (Larix decidua Mill.) forests to wildfires in the western Alps|Moris, Jose V.; Vacchiano, Giorgio; Enri, Simone Ravetto; Lonati, Michele; Motta, Renzo; Ascoli, Davide||||NEW FORESTS|SEP 2017|2017|48|5||||663|683||10.1007/s11056-017-9591-7|||0|0|0|0|0|0|0|0
Long-term decline of brown algal assemblages from southern Brazil under the influence of a nuclear power plant|de Szechy, Maria Teresa Menezes; Koutsoukos, Victor de Souza; de Moura Barboza, Carlos Alberto||||ECOLOGICAL INDICATORS|SEP 2017|2017|80|||||258|267||10.1016/j.ecolind.2017.05.019|||1|0.5|0|0|0|0|0|1
Integrating demographic and environmental variables to calculate an egg production index for the Eastern Bering Sea snow crab (Chionoecetes opilio)|Murphy, James T.; Rugolo, Louis J.; Turnock, Benjamin J.||||FISHERIES RESEARCH|SEP 2017|2017|193|||||143|157||10.1016/j.fishres.2017.04.003|||0|0|0|0|0|0|0|0
The effects of poaching and habitat structure on anti-predator behavioral strategies: A guanaco population in a high cold desert as case study|Cappa, Flavio; Campos, Valeria; Giannoni, Stella; Andino, Natalia||||PLOS ONE|AUG 31 2017|2017|12|8||||||e0184018|10.1371/journal.pone.0184018|||0|0|0|0|0|0|0|0
Skin bacterial microbiome of a generalist Puerto Rican frog varies along elevation and land use gradients|Hughey, Myra C.; Pena, Janelle A.; Reyes, Roberto; Medina, Daniel; Belden, Lisa K.; Burrowes, Patricia A.||||PEERJ|AUG 29 2017|2017|5|||||||e3688|10.7717/peerj.3688|||0|0|0|0|0|0|0|0
Exotic species enhance response diversity to land-use change but modify functional composition|Stavert, Jamie R.; Pattemore, David E.; Gaskett, Anne C.; Beggs, Jacqueline R.; Bartomeus, Ignasi||||PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES|AUG 16 2017|2017|284|1860||||||20170788|10.1098/rspb.2017.0788|||0|0|0|0|0|0|0|0
Karyological patterns in the European endemic genus Soldanella L.: Absolute genome size variation uncorrelated with cytotype chromosome numbers|Stubnova, Eliska; Hodalova, Iva; Kucera, Jaromir; Martonfiova, Lenka; Svitok, Marek; Slovak, Marek||||AMERICAN JOURNAL OF BOTANY|AUG 2017|2017|104|8||||1241|1253||10.3732/ajb.1700153|||0|0|0|0|0|0|0|0
Local environmental and meteorological conditions influencing the invasive mosquito Ae. albopictus and arbovirus transmission risk in New York City|Little, Eliza; Bajwa, Waheed; Shaman, Jeffrey||||PLOS NEGLECTED TROPICAL DISEASES|AUG 2017|2017|11|8||||||e0005828|10.1371/journal.pntd.0005828|||0|0|0|0|0|0|0|0
Can changes in soil biochemistry and plant stoichiometry explain loss of animal diversity of heathlands?|Vogels, J. J.; Verberk, W. C. E. P.; Lamers, L. P. M.; Siepel, H.||||BIOLOGICAL CONSERVATION|AUG 2017|2017|212||B||SI|432|447||10.1016/j.biocon.2016.08.039|||2|1|0|0|0|0|0|2
Identifying the main factors contributing to driving errors and traffic violations - Results from naturalistic driving data|Precht, Lisa; Keinath, Andreas; Krems, Josef F.||||TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR|AUG 2017|2017|49|||||49|92||10.1016/j.trf.2017.06.002|||1|0.5|0|0|0|0|0|1
Small-scale alterations in carnivore activity patterns close to motorways|Mata, Cristina; Ruiz-Capillas, Pablo; Malo, Juan E.||||EUROPEAN JOURNAL OF WILDLIFE RESEARCH|AUG 2017|2017|63|4||||||64|10.1007/s10344-017-1118-1|||0|0|0|0|0|0|0|0
Childhood Injury Prevention: Predictors of Home Hazards in Latino Families Enrolled in SafeCare (R)|Slemaker, Alexandra; Espeleta, Hannah C.; Heidari, Zohal; Bohora, Som B.; Silovsky, Jane F.||||JOURNAL OF PEDIATRIC PSYCHOLOGY|AUG 2017|2017|42|7||||738|747||10.1093/jpepsy/jsx045|||1|0.5|0|0|0|0|0|1
Age and experience affect the reproductive success of captive Loggerhead Shrike (Lanius ludovicianus) subspecies|Imlay, T. L.; Steiner, J. C.; Bird, D. M.||||CANADIAN JOURNAL OF ZOOLOGY|AUG 2017|2017|95|8||||547|554||10.1139/cjz-2015-0169|||0|0|0|0|0|0|0|0
Effectiveness of maternal egg attendance in an exclusively cave-dwelling harvestman (Arachnida: Opiliones)|Garcia-Hernandez, S.; Machado, G.||||JOURNAL OF ZOOLOGY|AUG 2017|2017|302|4||||228|235||10.1111/jzo.12452|||0|0|0|0|0|0|0|0
Paternal care behaviour of the giant water bug Kirkaldyia deyrolli (Heteroptera: Belostomatidae) against ants|Ohba, Shin-Ya; Maeda, Airi||||ECOLOGICAL ENTOMOLOGY|AUG 2017|2017|42|4||||402|410||10.1111/een.12398|||0|0|0|0|0|0|0|0
Dealing with data conflicts in statistical inference of population assessment models that integrate information from multiple diverse data sets|Maunder, Mark N.; Piner, Kevin R.||||FISHERIES RESEARCH|AUG 2017|2017|192|||||16|27||10.1016/j.fishres.2016.04.022|||5|2.5|0|0|0|0|0|4
Estimating multinomial effective sample size in catch-at-age and catch-at-size models|Truesdell, Samuel B.; Bence, James R.; Syslo, John M.; Ebener, Mark P.||||FISHERIES RESEARCH|AUG 2017|2017|192|||||66|83||10.1016/j.fishres.2016.11.003|||3|1.5|0|0|0|0|0|3
Effect of data weighting on the mature male biomass estimate for Alaskan golden king crab|Siddeek, M. S. M.; Zheng, J.; Punt, A. E.; Pengilly, D.||||FISHERIES RESEARCH|AUG 2017|2017|192|||||103|113||10.1016/j.fishres.2017.02.001|||1|0.5|0|0|0|0|0|1
Implications of process error in selectivity for approaches to weighting compositional data in fisheries stock assessments|Stewart, Ian J.; Monnahan, Cole C.||||FISHERIES RESEARCH|AUG 2017|2017|192|||||126|134||10.1016/j.fishres.2016.06.018|||3|1.5|0|0|0|0|0|3
Global loss of avian evolutionary uniqueness in urban areas|Diego Ibanez-Alamo, Juan; Rubio, Enrique; Benedetti, Yanina; Morelli, Federico||||GLOBAL CHANGE BIOLOGY|AUG 2017|2017|23|8||||2990|2998||10.1111/gcb.13567|||0|0|0|0|0|0|0|0
Comparative analysis of vaginal microbiota sampling using 16S rRNA gene analysis|Virtanen, Seppo; Kalliala, Ilkka; Nieminen, Pekka; Salonen, Anne||||PLOS ONE|JUL 19 2017|2017|12|7||||||e0181477|10.1371/journal.pone.0181477|||0|0|0|0|0|0|0|0
Evaluation of electric nets as means to sample mosquito vectors host-seeking on humans and primates|Hawkes, Frances; Manin, Benny Obrain; Ng, Sui Han; Torr, Stephen J.; Drakeley, Chris; Chua, Tock H.; Ferguson, Heather M.||||PARASITES & VECTORS|JUL 18 2017|2017|10|||||||338|10.1186/s13071-017-2277-3|||2|1|0|0|0|0|0|2
Xylem and Leaf Functional Adjustments to Drought in Pinus sylvestris and Quercus pyrenaica at Their Elevational Boundary|Fernandez-de-Una, Laura; Rossi, Sergio; Aranda, Ismael; Fonti, Patrick; Gonzalez-Gonzalez, Borja D.; Canellas, Isabel; Gea-Izquierdo, Guillermo||||FRONTIERS IN PLANT SCIENCE|JUL 11 2017|2017|8|||||||1200|10.3389/fpls.2017.01200|||1|0.5|0|0|0|0|0|1
Mapping of Aedes albopictus Abundance at a Local Scale in Italy|Baldacchino, Frederic; Marcantonio, Matteo; Manica, Mattia; Marini, Giovanni; Zorer, Roberto; Delucchi, Luca; Arnoldi, Daniele; Montarsi, Fabrizio; Capelli, Gioia; Rizzoli, Annapaola; Rosa, Roberto||||REMOTE SENSING|JUL 2017|2017|9|7||||||749|10.3390/rs9070749|||0|0|0|0|0|0|0|0
Land snails benefit from human alterations in rural landscapes and habitats|Rosin, Zuzanna M.; Lesicki, Andrzej; Kwiecinski, Zbigniew; Skorka, Piotr; Tryjanowski, Piotr||||ECOSPHERE|JUL 2017|2017|8|7||||||e01874|10.1002/ecs2.1874|||0|0|0|0|0|0|0|0
Toucans (Ramphastos ambiguus) facilitate resilience against seed dispersal limitation to a large-seeded tree (Virola surinamensis) in a human-modified landscape|Moreira, Juan I.; Riba-Hernandez, Pablo; Lobo, Jorge A.||||BIOTROPICA|JUL 2017|2017|49|4||||502|510||10.1111/btp.12427|||1|0.5|0|0|0|0|0|1
Biogeography of top predators - seabirds and cetaceans - along four latitudinal transects in the Atlantic Ocean|Jungblut, Simon; Nachtsheim, Dominik A.; Boos, Karin; Joiris, Claude R.||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|JUL 2017|2017|141||||SI|59|73||10.1016/j.dsr2.2017.04.005|||1|0.5|0|0|0|0|0|1
Restoration treatments to control Molinia arundinacea and woody and alien species encroachment in Calluna vulgaris heathlands at the southern edge of their distribution|Probo, Massimiliano; Ascoli, Davide; Lonati, Michele; Marzano, Raffaella; Lombardi, Giampiero||||BIOLOGICAL CONSERVATION|JUL 2017|2017|211||A|||102|109||10.1016/j.biocon.2017.05.013|||0|0|0|0|0|0|0|0
A pan-neotropical analysis of hunting preferences|Stafford, C. A.; Preziosi, R. F.; Sellers, W. I.||||BIODIVERSITY AND CONSERVATION|JUL 2017|2017|26|8||||1877|1897||10.1007/s10531-017-1334-8|||0|0|0|0|0|0|0|0
Rsk2 Knockout Affects Emotional Behavior in the IntelliCage|Fischer, Matthias; Cabello, Victoria; Popp, Sandy; Krackow, Sven; Hommers, Leif; Deckert, Juergen; Lesch, Klaus-Peter; Schmitt-Boehrer, Angelika G.||||BEHAVIOR GENETICS|JUL 2017|2017|47|4||||434|448||10.1007/s10519-017-9853-3|||0|0|0|0|0|0|0|0
