JOURNAL,2012,2013,2014,2015,2016,2017
JOURNAL OF ECOLOGY,0,0,1,0,1,1
JOURNAL OF ETHOLOGY,0,0,1,0,0,0
JOURNAL OF EVOLUTIONARY BIOLOGY,0,0,1,2,1,0
JOURNAL OF EXPERIMENTAL BIOLOGY,0,0,0,0,0,2
JOURNAL OF EXPERIMENTAL EDUCATION,0,0,0,0,1,0
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0,0,1,1,0,0
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0,0,1,0,0,0
JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL GENETICS AND PHYSIOLOGY,0,0,0,0,1,0
JOURNAL OF FIELD ORNITHOLOGY,0,1,2,0,0,0
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,0,0,1,0,1,0
JOURNAL OF FISH BIOLOGY,0,1,0,0,0,2
JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,0,0,0,0,0,1
JOURNAL OF GREAT LAKES RESEARCH,1,1,2,0,1,0
JOURNAL OF HAZARDOUS MATERIALS,0,0,0,0,0,1
JOURNAL OF HEREDITY,0,1,0,0,0,0
JOURNAL OF HOSPITAL INFECTION,0,0,0,0,0,1
JOURNAL OF IMMUNOLOGY RESEARCH,0,0,0,1,0,0
JOURNAL OF INSECT CONSERVATION,0,1,1,0,1,0
JOURNAL OF MAMMALOGY,0,0,1,0,1,0
JOURNAL OF MEDICAL ENTOMOLOGY,0,0,0,0,0,1
JOURNAL OF MEDICAL INTERNET RESEARCH,0,0,0,0,1,0
JOURNAL OF PEDIATRIC PSYCHOLOGY,0,0,0,0,0,1
JOURNAL OF PLANKTON RESEARCH,0,0,0,1,1,0
JOURNAL OF RAPTOR RESEARCH,0,0,0,0,1,0
JOURNAL OF SEA RESEARCH,0,1,0,0,0,0
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0,0,0,0,1,0
JOURNAL OF STATISTICAL SOFTWARE,0,0,1,1,1,0
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0,0,0,0,0,1
JOURNAL OF THE ROYAL SOCIETY INTERFACE,0,0,0,0,0,1
JOURNAL OF THE TORREY BOTANICAL SOCIETY,0,0,0,1,0,0
JOURNAL OF THEORETICAL BIOLOGY,0,0,0,0,1,0
JOURNAL OF TROPICAL ECOLOGY,0,0,0,0,1,0
JOURNAL OF VEGETATION SCIENCE,0,0,2,0,0,1
JOURNAL OF WILDLIFE MANAGEMENT,0,1,0,1,3,1
JOURNAL OF ZOOLOGY,0,0,0,0,0,1
LANDSCAPE ECOLOGY,0,0,0,0,1,0
MALARIA JOURNAL,0,0,0,0,1,0
MARINE AND COASTAL FISHERIES,1,0,2,0,1,0
MARINE AND FRESHWATER RESEARCH,0,0,1,0,0,1
MARINE BIOLOGY,0,1,1,1,1,0
MARINE ECOLOGY PROGRESS SERIES,0,0,3,4,0,1
MARINE ENVIRONMENTAL RESEARCH,0,0,0,0,0,1
MARINE MAMMAL SCIENCE,0,0,1,0,0,0
MARINE POLICY,0,0,0,0,1,1
MARINE POLLUTION BULLETIN,0,0,0,1,0,1
MEDICAL AND VETERINARY ENTOMOLOGY,0,0,0,0,0,1
METHODS IN ECOLOGY AND EVOLUTION,1,3,0,2,1,1
MICROBIAL ECOLOGY,0,0,0,0,0,1
MOLECULAR ECOLOGY,0,0,1,1,1,0
MOLECULAR ECOLOGY RESOURCES,0,0,0,1,0,0
NATURE,0,0,0,1,0,0
NATURE COMMUNICATIONS,0,0,0,0,1,2
NEW FORESTS,0,0,0,0,0,1
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,1,0,2,0,2,2
NORTHWEST SCIENCE,0,0,0,0,1,0
OECOLOGIA,0,0,0,2,2,3
OIKOS,0,0,0,0,1,0
PALAIOS,0,0,0,0,0,1
PARASITE,0,0,0,1,0,0
PARASITES & VECTORS,0,0,1,1,3,5
PEDOBIOLOGIA,0,0,0,0,0,1
PEERJ,0,0,1,1,0,1
PEST MANAGEMENT SCIENCE,0,0,0,0,0,2
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0,0,0,0,0,1
PLANT BIOLOGY,0,0,0,0,1,0
PLANT ECOLOGY,0,0,0,3,2,2
PLOS COMPUTATIONAL BIOLOGY,0,0,1,0,0,0
PLOS GENETICS,0,0,0,1,0,0
PLOS MEDICINE,0,0,0,0,0,1
PLOS NEGLECTED TROPICAL DISEASES,0,0,1,0,1,1
PLOS ONE,1,5,3,5,7,4
POLAR BIOLOGY,0,0,0,0,0,1
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0,0,0,0,2,0
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0,0,1,1,0,3
PROGRESS IN OCEANOGRAPHY,0,0,0,0,0,1
PSYCHIATRIC SERVICES,0,0,0,1,0,0
PSYCHOLOGICAL SCIENCE,0,0,0,0,0,1
RANGELAND JOURNAL,0,0,0,0,0,1
REMOTE SENSING,0,0,0,0,0,1
REMOTE SENSING OF ENVIRONMENT,0,0,0,1,0,0
RESTORATION ECOLOGY,0,0,0,0,1,0
RIVER RESEARCH AND APPLICATIONS,0,0,0,0,1,0
RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA,0,0,1,0,0,0
ROYAL SOCIETY OPEN SCIENCE,0,0,0,2,1,0
SCIENCE OF THE TOTAL ENVIRONMENT,0,0,0,0,2,0
SCIENTIA HORTICULTURAE,0,0,0,0,0,1
SCIENTIFIC REPORTS,0,0,0,0,2,3
SCIENTIFICA,0,0,0,0,1,0
STATISTICAL METHODS IN MEDICAL RESEARCH,0,0,0,0,0,1
STATISTICS IN MEDICINE,0,0,0,0,3,0
STRAHLENTHERAPIE UND ONKOLOGIE,0,0,1,0,0,0
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2,1,2,1,3,2
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,0,0,0,0,0,3
TROPICAL CONSERVATION SCIENCE,0,0,0,0,0,1
URBAN FORESTRY & URBAN GREENING,0,0,0,0,1,0
VETERINARY PARASITOLOGY,0,0,0,0,1,1
VIRUSES-BASEL,0,0,0,0,0,1
WATERBIRDS,0,0,0,1,0,0
WILDLIFE RESEARCH,0,0,0,1,1,0
WILDLIFE SOCIETY BULLETIN,0,0,0,0,0,1
WILSON JOURNAL OF ORNITHOLOGY,0,1,0,0,0,0
ZOOLOGY,0,0,0,0,1,0
