#For:  AD Model Builder: using automatic differentiation for statistical inference of highly parameterized complex nonlinear models ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Title|Authors|Corporate Authors|Editors|Book Editors|Source Title|Publication Date|Publication Year|Volume|Issue|Part Number|Supplement|Special Issue|Beginning Page|Ending Page|Article Number|DOI|Conference Title|Conference Date|Total Citations|Average per Year|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019
A comparison of observation-level random effect and Beta-Binomial models for modelling overdispersion in Binomial data in ecology & evolution|Harrison, Xavier A.||||PEERJ|JUL 21 2015|2015|3|||||||e1114|10.7717/peerj.1114|||50|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|20|26|1
Contemporary fisheries stock assessment: many issues still remain|Maunder, Mark N.; Piner, Kevin R.||||ICES JOURNAL OF MARINE SCIENCE|JAN 2015|2015|72|1||||7|18||10.1093/icesjms/fsu015|World Conference on Stock Assessment Methods for Sustainable Fisheries|JUL, 2013|47|9.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|15|17|10|1
Testing the roles of competition, facilitation and stochasticity on community structure in a species-rich assemblage|Martorell, Carlos; Freckleton, Robert P.||||JOURNAL OF ECOLOGY|JAN 2014|2014|102|1||||74|85||10.1111/1365-2745.12173|||46|7.67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|13|8|13|8|1
Age-associated telomere attrition of lymphocytes in vivo is co-ordinated with changes in telomerase activity, composition of lymphocyte subsets and health conditions|Lin, Yun; Damjanovic, Amanda; Metter, E. Jeffrey; Huy Nguyen; Thai Truong; Najarro, Kevin; Morris, Christa; Longo, Dan L.; Zhan, Ming; Ferrucci, Luigi; Hodes, Richard J.; Weng, Nan-ping||||CLINICAL SCIENCE|MAR 2015|2015|128|6||||367|377||10.1042/CS20140481|||43|8.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|14|9|11|3
A novel length-based empirical estimation method of spawning potential ratio (SPR), and tests of its performance, for small-scale, data-poor fisheries|Hordyk, Adrian; Ono, Kotaro; Valencia, Sarah; Loneragan, Neil; Prince, Jeremy||||ICES JOURNAL OF MARINE SCIENCE|JAN 2015|2015|72|1||||217|231||10.1093/icesjms/fsu004|World Conference on Stock Assessment Methods for Sustainable Fisheries|JUL, 2013|38|7.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|12|4|15|2
Negative effects of pesticides on wild bee communities can be buffered by landscape context|Park, Mia G.; Blitzer, E. J.; Gibbs, Jason; Losey, John E.; Danforth, Bryan N.||||PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES|JUN 22 2015|2015|282|1809||||||20150299|10.1098/rspb.2015.0299|||35|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|8|10|10|3
Looking in the rear-view mirror: bias and retrospective patterns in integrated, age-structured stock assessment models|Hurtado-Ferro, Felipe; Szuwalski, Cody S.; Valero, Juan L.; Anderson, Sean C.; Cunningham, Curry J.; Johnson, Kelli F.; Licandeo, Roberto; McGilliard, Carey R.; Monnahan, Cole C.; Muradian, Melissa L.; Ono, Kotaro; Vert-Pre, Katyana A.; Whitten, Athol R.; Punt, Andre E.||||ICES JOURNAL OF MARINE SCIENCE|JAN 2015|2015|72|1||||99|110||10.1093/icesjms/fsu198|World Conference on Stock Assessment Methods for Sustainable Fisheries|JUL, 2013|35|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9|11|11|3
Measuring uncertainty in fisheries stock assessment: the delta method, bootstrap, and MCMC|Magnusson, Arni; Punt, Andre E.; Hilborn, Ray||||FISH AND FISHERIES|SEP 2013|2013|14|3||||325|342||10.1111/j.1467-2979.2012.00473.x|||35|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|10|6|8|5|1
Can steepness of the stock-recruitment relationship be estimated in fishery stock assessment models?|Lee, Hui-Hua; Maunder, Mark N.; Piner, Kevin R.; Methot, Richard D.||||FISHERIES RESEARCH|AUG 2012|2012|125|||||254|261||10.1016/j.fishres.2012.03.001|||35|4.38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|7|6|7|6|6|0
Panamanian frog species host unique skin bacterial communities|Belden, Lisa K.; Hughey, Myra C.; Rebollar, Eria A.; Umile, Thomas P.; Loftus, Stephen C.; Burzynski, Elizabeth A.; Minbiole, Kevin P. C.; House, Leanna L.; Jensen, Roderick V.; Becker, Matthew H.; Walke, Jenifer B.; Medina, Daniel; Ibanez, Roberto; Harris, Reid N.||||FRONTIERS IN MICROBIOLOGY|OCT 27 2015|2015|6|||||||1171|10.3389/fmicb.2015.01171|||34|6.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|18|9|2
The coefficient of determination R-2 and intra-class correlation coefficient from generalized linear mixed-effects models revisited and expanded|Nakagawa, Shinichi; Johnson, Paul C. D.; Schielzeth, Holger||||JOURNAL OF THE ROYAL SOCIETY INTERFACE|SEP 1 2017|2017|14|134||||||20170213|10.1098/rsif.2017.0213|||33|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|8
Spawning biomass reference points for exploited marine fishes, incorporating taxonomic and body size information|Thorson, James T.; Cope, Jason M.; Branch, Trevor A.; Jensen, Olaf P.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|SEP 2012|2012|69|9||||1556|1568||10.1139/F2012-077|||33|4.13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|6|4|6|3|7|2
Using movement data from electronic tags in fisheries stock assessment: A review of models, technology and experimental design|Sippel, Tim; Eveson, J. Paige; Galuardi, Benjamin; Lam, Chi; Hoyle, Simon; Maunder, Mark; Kleiber, Pierre; Carvalho, Felipe; Tsontos, Vardis; Teo, Steven L. H.; Aires-da-Silva, Alexandre; Nicol, Simon||||FISHERIES RESEARCH|MAR 2015|2015|163||||SI|152|160||10.1016/j.fishres.2014.04.006|||32|6.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|11|11|2
Coupling age-structured stock assessment and fish bioenergetics models: a system of time-varying models for quantifying piscivory patterns during the rapid trophic shift in the main basin of Lake Huron|He, Ji X.; Bence, James R.; Madenjian, Charles P.; Pothoven, Steven A.; Dobiesz, Norine E.; Fielder, David G.; Johnson, James E.; Ebener, Mark P.; Cottrill, R. Adam; Mohr, Lloyd C.; Koproski, Scott R.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|JAN 2015|2015|72|1||||7|23||10.1139/cjfas-2014-0161|||31|6.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|10|6|8|2
marked: an R package for maximum likelihood and Markov Chain Monte Carlo analysis of capture-recapture data|Laake, Jeff L.; Johnson, Devin S.; Conn, Paul B.||||METHODS IN ECOLOGY AND EVOLUTION|SEP 2013|2013|4|9||||885|890||10.1111/2041-210X.12065|||31|4.43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|7|5|10|2
Multi-organ Mapping of Cancer Risk|Zhu, Liqin; Finkelstein, David; Gao, Culian; Shi, Lei; Wang, Yongdong; Lopez-Terrada, Dolores; Wang, Kasper; Utley, Sarah; Pounds, Stanley; Neale, Geoffrey; Ellison, David; Onar-Thomas, Arzu; Gilbertson, Richard James||||CELL|AUG 25 2016|2016|166|5||||1132|+||10.1016/j.cell.2016.07.045|||30|7.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17|13|0
Sown flower strips in southern Sweden increase abundances of wild bees and hoverflies in the wider landscape|Jonsson, Annelie M.; Ekroos, Johan; Danhardt, Juliana; Andersson, Georg K. S.; Olsson, Ola; Smith, Henrik G.||||BIOLOGICAL CONSERVATION|APR 2015|2015|184|||||51|58||10.1016/j.biocon.2014.12.027|||29|5.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|11|11|0
Bacterial Infection Drives the Expression Dynamics of microRNAs and Their isomiRs|Siddle, Katherine J.; Tailleux, Ludovic; Deschamps, Matthieu; Loh, Yong-Hwee Eddie; Deluen, Cecile; Gicquel, Brigitte; Antoniewski, Christophe; Barreiro, Luis B.; Farinelli, Laurent; Quintana-Murci, Llus||||PLOS GENETICS|MAR 2015|2015|11|3||||||e1005064|10.1371/journal.pgen.1005064|||29|5.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|11|8|2
Experimental evidence that wildflower strips increase pollinator visits to crops|Feltham, Hannah; Park, Kirsty; Minderman, Jeroen; Goulson, Dave||||ECOLOGY AND EVOLUTION|AUG 2015|2015|5|16||||3523|3530||10.1002/ece3.1444|||28|5.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|13|11|2
Evolutionary Time-Series Analysis Reveals the Signature of Frequency-Dependent Selection on a Female Mating Polymorphism|Le Rouzic, Arnaud; Hansen, Thomas F.; Gosden, Thomas P.; Svensson, Erik I.||||AMERICAN NATURALIST|JUN 2015|2015|185|6||||E182|E196||10.1086/680982|||26|5.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|10|10|1
Large scale modelling of salmon lice (Lepeophtheirus salmonis) infection pressure based on lice monitoring data from Norwegian salmonid farms|Kristoffersen, Anja B.; Jimenez, Daniel; Viljugrein, Hildegunn; Grontvedt, Randi; Stien, Audun; Jansen, Peder A.||||EPIDEMICS|DEC 2014|2014|9|||||31|39||10.1016/j.epidem.2014.09.007|||26|4.33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|9|4|9|1
A multispecies statistical age-structured model to assess predator-prey balance: application to an intensively managed Lake Michigan pelagic fish community|Tsehaye, Iyob; Jones, Michael L.; Bence, James R.; Brenden, Travis O.; Madenjian, Charles P.; Warner, David M.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|APR 2014|2014|71|4||||627|644||10.1139/cjfas-2013-0313|||26|4.33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|9|2|8|1
Niche opportunities and invasion dynamics in a desert annual community|Allington, Ginger R. H.; Koons, David N.; Ernest, S. K. Morgan; Schutzenhofer, Michele R.; Valone, Thomas J.||||ECOLOGY LETTERS|FEB 2013|2013|16|2||||158|166||10.1111/ele.12023|||25|3.57|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|8|1|3|4|5|3
A general framework for animal density estimation from acoustic detections across a fixed microphone array|Stevenson, Ben C.; Borchers, David L.; Altwegg, Res; Swift, Rene J.; Gillespie, Douglas M.; Measey, G. John||||Methods in Ecology and Evolution|JAN 2015|2015|6|1||||38|48||10.1111/2041-210X.12291|||24|4.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|11|2
Phenotypic and transgenerational plasticity promote local adaptation to sun and shade environments|McIntyre, Patrick J.; Strauss, Sharon Y.||||EVOLUTIONARY ECOLOGY|MAR 2014|2014|28|2||||229|246||10.1007/s10682-013-9670-y|||24|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|8|5|1
Faster estimation of Bayesian models in ecology using Hamiltonian Monte Carlo|Monnahan, Cole C.; Thorson, James T.; Branch, Trevor A.||||METHODS IN ECOLOGY AND EVOLUTION|MAR 2017|2017|8|3||||339|348||10.1111/2041-210X.12681|||23|7.67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|16|4
Joint estimation over multiple individuals improves behavioural state inference from animal movement data|Jonsen, Ian||||SCIENTIFIC REPORTS|FEB 8 2016|2016|6|||||||20625|10.1038/srep20625|||23|5.75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|9|7|5
Validation of CryoSat-2 SAR mode based lake levels|Nielsen, Karina; Stenseng, Lars; Andersen, Ole B.; Villadsen, Heidi; Knudsen, Per||||REMOTE SENSING OF ENVIRONMENT|DEC 15 2015|2015|171|||||162|170||10.1016/j.rse.2015.10.023|||23|4.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|9|10|2
Behaviour-related DRD4 polymorphisms in invasive bird populations|Mueller, J. C.; Edelaar, P.; Carrete, M.; Serrano, D.; Potti, J.; Blas, J.; Dingemanse, N. J.; Kempenaers, B.; Tella, J. L.||||MOLECULAR ECOLOGY|JUN 2014|2014|23|11||||2876|2885||10.1111/mec.12763|||23|3.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|7|1|3|2
Accounting for spatial population structure at scales relevant to life history improves stock assessment: The case for Lake Erie walleye Sander vitreus|Berger, Aaron M.; Jones, Michael L.; Zhao, Yingming; Bence, James R.||||FISHERIES RESEARCH|MAR 2012|2012|115|||||44|59||10.1016/j.fishres.2011.11.006|||23|2.88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|4|7|3|6|1|1
Rapid evolution of dispersal ability makes biological invasions faster and more variable|Ochocki, Brad M.; Miller, Tom E. X.||||NATURE COMMUNICATIONS|JAN 27 2017|2017|8|||||||14315|10.1038/ncomms14315|||22|7.33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|14|4
Phenological change in a spring ephemeral: implications for pollination and plant reproduction|Gezon, Zachariah J.; Inouye, David W.; Irwin, Rebecca E.||||GLOBAL CHANGE BIOLOGY|MAY 2016|2016|22|5||||1779|1793||10.1111/gcb.13209|||22|5.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|8|12|1
Thermal niche predicts tolerance to habitat conversion in tropical amphibians and reptiles|Frishkoff, Luke O.; Hadly, Elizabeth A.; Daily, Gretchen C.||||GLOBAL CHANGE BIOLOGY|NOV 2015|2015|21|11||||3901|3916||10.1111/gcb.13016|||22|4.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|13|0
Parasitism and Physiological Trade-Offs in Stressed Capybaras|Eberhardt, Ayelen T.; Costa, Sebastian A.; Marini, M. Rocio; Racca, Andrea; Baldi, Cecilia J.; Robles, M. Rosario; Moreno, Pablo G.; Beldomenico, Pablo M.||||PLOS ONE|JUL 24 2013|2013|8|7||||||e70382|10.1371/journal.pone.0070382|||21|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|3|4|2|7|0
A comparison of fisheries biological reference points estimated from temperature-specific multi-species and single-species climate-enhanced stock assessment models|Holsman, Kirstin K.; Ianelli, James; Aydin, Kerim; Punt, Andre E.; Moffitt, Elizabeth A.||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|DEC 2016|2016|134|||||360|378||10.1016/j.dsr2.2015.08.001|||20|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|5|7|2
New evidence on the tool-assisted hunting exhibited by chimpanzees (Pan troglodytes verus) in a savannah habitat at Fongoli, Senegal|Pruetz, J. D.; Bertolani, P.; Ontl, K. Boyer; Lindshield, S.; Shelley, M.; Wessling, E. G.||||ROYAL SOCIETY OPEN SCIENCE|APR 2015|2015|2|4||||||140507|10.1098/rsos.140507|||20|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|8|9|1
Why do we lose protected areas? Factors influencing protected area downgrading, downsizing and degazettement in the tropics and subtropics|Symes, William S.; Rao, Madhu; Mascia, Michael B.; Carrasco, L. Roman||||GLOBAL CHANGE BIOLOGY|FEB 2016|2016|22|2||||656|665||10.1111/gcb.13089|||19|4.75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|7|1
Exploration behavior and parental effort in wild great tits: partners matter|David, Morgan; Pinxten, Rianne; Martens, Tine; Eens, Marcel||||BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY|JUL 2015|2015|69|7||||1085|1095||10.1007/s00265-015-1921-1|||19|3.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|9|0
Divergent Receiver Responses to Components of Multimodal Signals in Two Foot-Flagging Frog Species|Preininger, Doris; Boeckle, Markus; Sztatecsny, Marc; Hoedl, Walter||||PLOS ONE|JAN 29 2013|2013|8|1||||||e55367|10.1371/journal.pone.0055367|||19|2.71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|4|6|2|4|0
When does fishing forage species affect their predators?|Hilborn, Ray; Amoroso, Ricardo O.; Bogazzi, Eugenia; Jensen, Olaf P.; Parma, Ana M.; Szuwalski, Cody; Walters, Carl J.||||FISHERIES RESEARCH|JUL 2017|2017|191|||||211|221||10.1016/j.fishres.2017.01.008|||18|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|15|0
Ecosystem Model Skill Assessment. Yes We Can!|Olsen, Erik; Fay, Gavin; Gaichas, Sarah; Gamble, Robert; Lucey, Sean; Link, Jason S.||||PLOS ONE|JAN 5 2016|2016|11|1||||||e0146467|10.1371/journal.pone.0146467|||18|4.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|8|4|4
Fast fitting of non-Gaussian state-space models to animal movement data via Template Model Builder|Albertsen, Christoffer Moesgaard; Whoriskey, Kim; Yurkowski, David; Nielsen, Anders; Flemming, Joanna Mills||||ECOLOGY|OCT 2015|2015|96|10||||2598|2604||10.1890/14-2101.1.sm|||18|3.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|9|3|1
Aerial sowing stopped the loss of alpine ash (Eucalyptus delegatensis) forests burnt by three short-interval fires in the Alpine National Park, Victoria, Australia|Bassett, Owen D.; Prior, Lynda D.; Slijkerman, Carolyn M.; Jamieson, Daniel; Bowman, David M. J. S.||||FOREST ECOLOGY AND MANAGEMENT|APR 15 2015|2015|342|||||39|48||10.1016/j.foreco.2015.01.008|||18|3.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|6|5|1
European red squirrel population dynamics driven by squirrelpox at a gray squirrel invasion interface|Chantrey, Julian; Dale, Timothy D.; Read, Jonathan M.; White, Steve; Whitfield, Fiona; Jones, David; McInnes, Colin J.; Begon, Michael||||ECOLOGY AND EVOLUTION|OCT 2014|2014|4|19||||3788|3799||10.1002/ece3.1216|||18|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|6|2
